epoch,accuracy,learning_rate,loss,top3_acc,val_accuracy,val_loss,val_top3_acc
10,0.8273147940635681,9.999999747378752e-06,0.5391249060630798,0.9564393758773804,0.9010137319564819,0.31278878450393677,0.9824686646461487
11,0.8890992999076843,9.999999747378752e-06,0.3154548108577728,0.9802188277244568,0.9184257388114929,0.2502058744430542,0.9895050525665283
12,0.9088383913040161,9.999999747378752e-06,0.25715258717536926,0.9858375191688538,0.9273703098297119,0.21893619000911713,0.991055428981781
13,0.922053873538971,9.999999747378752e-06,0.21784213185310364,0.9896464943885803,0.9341681599617004,0.19914817810058594,0.9922480583190918
14,0.9327861666679382,9.999999747378752e-06,0.18453682959079742,0.9914982914924622,0.9394156336784363,0.18509092926979065,0.9929636120796204
15,0.9373105764389038,9.999999747378752e-06,0.16634143888950348,0.9928451180458069,0.9378652572631836,0.18563775718212128,0.9936791658401489
16,0.9458333253860474,9.999999747378752e-06,0.1459675282239914,0.9942971467971802,0.9404889941215515,0.1757170557975769,0.99391770362854
17,0.9501473307609558,9.999999747378752e-06,0.13117757439613342,0.9949284791946411,0.9494335055351257,0.1541985422372818,0.9949910640716553
18,0.9551346898078918,9.999999747378752e-06,0.11985426396131516,0.9957912564277649,0.9493142366409302,0.15432792901992798,0.9960644245147705
19,0.9593644738197327,9.999999747378752e-06,0.1104201003909111,0.9962331652641296,0.955157995223999,0.13639472424983978,0.995945155620575
20,0.9613004922866821,9.999999747378752e-06,0.1015319898724556,0.9966540336608887,0.9582588076591492,0.12984396517276764,0.9964221715927124
21,0.9654040336608887,9.999999747378752e-06,0.09030956774950027,0.996632993221283,0.9586165547370911,0.124908447265625,0.9967799782752991
22,0.9686658382415771,9.999999747378752e-06,0.08437904715538025,0.9975168108940125,0.9577817320823669,0.12960155308246613,0.996541440486908
23,0.9695706963539124,9.999999747378752e-06,0.07956947386264801,0.9979798197746277,0.9617173671722412,0.11805280297994614,0.9966607093811035
24,0.9723485112190247,9.999999747378752e-06,0.07278762757778168,0.9975168108940125,0.9645795822143555,0.11304261535406113,0.997137725353241
25,0.9749158024787903,9.999999747378752e-06,0.06668905913829803,0.9983375668525696,0.9664877653121948,0.10462820529937744,0.9974955320358276
26,0.9767466187477112,9.999999747378752e-06,0.06367562711238861,0.9986321330070496,0.9666070342063904,0.1016450822353363,0.9977340698242188
27,0.9761784672737122,9.999999747378752e-06,0.061030931770801544,0.998674213886261,0.9675611257553101,0.0971757099032402,0.9974955320358276
28,0.9794612526893616,9.999999747378752e-06,0.05353496968746185,0.9988215565681458,0.9666070342063904,0.10008091479539871,0.9977340698242188
29,0.9809553623199463,9.999999747378752e-06,0.051252659410238266,0.99894779920578,0.9672033190727234,0.10137636214494705,0.9978533387184143
