epoch,accuracy,learning_rate,loss,top3_acc,val_accuracy,val_loss,val_top3_acc
0,0.7893097400665283,0.0010000000474974513,0.7464523911476135,0.9241372346878052,0.8789505362510681,0.379905641078949,0.9800834655761719
1,0.8781775832176208,0.0010000000474974513,0.367995947599411,0.975210428237915,0.8945736289024353,0.32370391488075256,0.9855694770812988
2,0.8942760825157166,0.0010000000474974513,0.31707191467285156,0.9807870388031006,0.9074537754058838,0.28360000252723694,0.9860464930534363
3,0.9001052379608154,0.0010000000474974513,0.28875732421875,0.9833754301071167,0.9117471575737,0.270172655582428,0.9878354072570801
4,0.9072390794754028,0.0010000000474974513,0.2670626938343048,0.9849537014961243,0.9067382216453552,0.28001466393470764,0.9881932139396667
5,0.9097011685371399,0.0010000000474974513,0.26257604360580444,0.9858375191688538,0.9051878452301025,0.2804909944534302,0.9895050525665283
6,0.9130892157554626,0.0010000000474974513,0.2456790655851364,0.9877314567565918,0.914609432220459,0.247430682182312,0.9905784130096436
7,0.9140782952308655,0.0010000000474974513,0.2428208887577057,0.9874579310417175,0.9160405397415161,0.2462601214647293,0.9890280365943909
8,0.9185395836830139,0.0010000000474974513,0.23120886087417603,0.9885100722312927,0.9168753623962402,0.24194934964179993,0.9885509610176086
9,0.9160774350166321,0.0010000000474974513,0.2325536608695984,0.9894149899482727,0.9228383898735046,0.22471405565738678,0.9911746978759766
